make,fuel-type,body-style,engine-type,price,car_id
alfa-romero,gas,convertible,dohc,13495,1
alfa-romero,gas,convertible,dohc,16500,2
alfa-romero,gas,hatchback,ohcv,16500,3
audi,gas,sedan,ohc,13950,4
audi,gas,sedan,ohc,17450,5
audi,gas,sedan,ohc,15250,6
audi,gas,sedan,ohc,17710,7
audi,gas,wagon,ohc,18920,8
audi,gas,sedan,ohc,23875,9
audi,gas,hatchback,ohc,16000,10
bmw,gas,sedan,ohc,16430,11
bmw,gas,sedan,ohc,16925,12
bmw,gas,sedan,ohc,20970,13
bmw,gas,sedan,ohc,21105,14
bmw,gas,sedan,ohc,24565,15
bmw,gas,sedan,ohc,30760,16
bmw,gas,sedan,ohc,41315,17
bmw,gas,sedan,ohc,36880,18
chevrolet,gas,hatchback,l,5151,19
chevrolet,gas,hatchback,ohc,6295,20
chevrolet,gas,sedan,ohc,6575,21
dodge,gas,hatchback,ohc,5572,22
dodge,gas,hatchback,ohc,6377,23
dodge,gas,hatchback,ohc,7957,24
dodge,gas,hatchback,ohc,6229,25
dodge,gas,sedan,ohc,6692,26
dodge,gas,sedan,ohc,7609,27
dodge,gas,sedan,ohc,8558,28
dodge,gas,wagon,ohc,8921,29
dodge,gas,hatchback,ohc,12964,30
